Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
1949-1950,Al Cervi,11,248.0,18.66,0.476,0.174,0.676,0.174,0.174,0.174,13.44,0.174,0.174,0.174,0.174,0.7,0.4,1.1,0.174,0.174,0.174,0.174,,0,0
1949-1950,Al Guokas,2,41.4,11.18,0.452,0.054,1.5,0.054,0.054,0.054,16.92,0.054,0.054,0.054,0.054,0.1,0.1,0.1,0.054,0.054,0.054,0.054,,0,0
1949-1950,Alex Groza,6,167.2,14.5,0.685,0.14,0.797,0.14,0.14,0.14,10.78,0.14,0.14,0.14,0.14,2.2,0.0,2.2,0.14,0.14,0.14,0.14,,0,0
1949-1950,Alex Hannum,11,385.0,16.66,0.461,0.135,0.395,0.135,0.135,0.135,14.04,0.135,0.135,0.135,0.135,0.5,0.3,0.8,0.135,0.135,0.135,0.135,,0,0
1949-1950,Andrew Levane,9,253.2,9.14,0.395,-0.005,0.135,-0.005,-0.005,-0.005,10.04,-0.005,-0.005,-0.005,-0.005,0.0,0.1,0.1,-0.005,-0.005,-0.005,-0.005,,0,0
1949-1950,Andy Duncan,2,55.8,21.18,0.773,0.248,0.667,0.248,0.248,0.248,15.76,0.248,0.248,0.248,0.248,0.1,0.0,0.1,0.248,0.248,0.248,0.248,,0,0
1949-1950,Andy Phillip,2,50.0,12.08,0.367,-0.021,0.481,-0.021,-0.021,-0.021,16.06,-0.021,-0.021,-0.021,-0.021,0.0,0.0,-0.1,-0.021,-0.021,-0.021,-0.021,,0,0
1949-1950,Arnie Ferrin,12,327.6,10.48,0.374,0.027,0.299,0.027,0.027,0.027,14.96,0.027,0.027,0.027,0.027,-0.1,0.8,0.7,0.027,0.027,0.027,0.027,,0,0
1949-1950,Arnie Johnson,2,61.4,19.12,0.579,0.182,1.0,0.182,0.182,0.182,23.4,0.182,0.182,0.182,0.182,0.2,-0.1,0.2,0.182,0.182,0.182,0.182,,0,0
1949-1950,Arnie Risen,2,71.4,15.02,0.449,0.086,0.789,0.086,0.086,0.086,14.52,0.086,0.086,0.086,0.086,0.1,0.0,0.1,0.086,0.086,0.086,0.086,,0,0
1949-1950,Bill Closs,8,153.0,10.04,0.372,0.013,0.275,0.013,0.013,0.013,13.22,0.013,0.013,0.013,0.013,-0.2,0.7,0.5,0.013,0.013,0.013,0.013,,0,0
1949-1950,Bill Gabor,10,277.2,8.42,0.343,-0.006,0.32,-0.006,-0.006,-0.006,12.16,-0.006,-0.006,-0.006,-0.006,-0.4,0.3,-0.1,-0.006,-0.006,-0.006,-0.006,,0,0
1949-1950,Bill Henry,3,51.8,3.14,0.215,-0.111,0.529,-0.111,-0.111,-0.111,7.82,-0.111,-0.111,-0.111,-0.111,-0.3,0.0,-0.2,-0.111,-0.111,-0.111,-0.111,,0,0
1949-1950,Billy Hassett,7,131.2,9.64,0.274,0.005,0.833,0.005,0.005,0.005,16.52,0.005,0.005,0.005,0.005,-0.1,0.1,0.0,0.005,0.005,0.005,0.005,,0,0
1949-1950,Bob Brannum,3,107.4,14.12,0.415,0.067,0.465,0.067,0.067,0.067,17.56,0.067,0.067,0.067,0.067,0.1,0.0,0.1,0.067,0.067,0.067,0.067,,0,0
1949-1950,Bob Carpenter,4,85.4,10.8,0.442,0.029,0.467,0.029,0.029,0.029,18.94,0.029,0.029,0.029,0.029,0.1,0.1,0.2,0.029,0.029,0.029,0.029,,0,0
1949-1950,Bob Davies,2,50.0,12.08,0.365,-0.021,0.471,-0.021,-0.021,-0.021,16.06,-0.021,-0.021,-0.021,-0.021,0.0,-0.1,-0.1,-0.021,-0.021,-0.021,-0.021,,0,1
1949-1950,Bob Evans,2,37.6,2.92,0.25,-0.152,0.0,-0.152,-0.152,-0.152,13.64,-0.152,-0.152,-0.152,-0.152,0.0,0.0,0.0,-0.152,-0.152,-0.152,-0.152,,0,0
1949-1950,Bob Feerick,2,45.0,2.74,0.327,-0.145,0.333,-0.145,-0.145,-0.145,4.52,-0.145,-0.145,-0.145,-0.145,0.0,-0.1,-0.1,-0.145,-0.145,-0.145,-0.145,,0,0
1949-1950,Bob Harris,4,91.0,9.92,0.368,-0.032,0.625,-0.032,-0.032,-0.032,9.78,-0.032,-0.032,-0.032,-0.032,-0.1,0.1,0.1,-0.032,-0.032,-0.032,-0.032,,0,0
1949-1950,Bob Harrison,12,343.8,13.78,0.487,0.089,0.378,0.089,0.089,0.089,10.9,0.089,0.089,0.089,0.089,0.3,0.5,0.8,0.089,0.089,0.089,0.089,,0,0
1949-1950,Bobby Cook,3,85.6,9.98,0.356,-0.011,0.6,-0.011,-0.011,-0.011,10.16,-0.011,-0.011,-0.011,-0.011,0.0,0.0,0.0,-0.011,-0.011,-0.011,-0.011,,0,0
1949-1950,Bobby Wanzer,2,76.6,16.86,0.594,0.152,0.765,0.152,0.152,0.152,16.48,0.152,0.152,0.152,0.152,0.3,0.0,0.3,0.152,0.152,0.152,0.152,,0,0
1949-1950,Bones McKinney,2,64.4,7.78,0.331,-0.084,0.227,-0.084,-0.084,-0.084,10.82,-0.084,-0.084,-0.084,-0.084,-0.1,-0.1,-0.2,-0.084,-0.084,-0.084,-0.084,,0,0
1949-1950,Bruce Hale,6,175.6,15.4,0.453,0.079,0.425,0.079,0.079,0.079,13.04,0.079,0.079,0.079,0.079,0.2,0.0,0.2,0.079,0.079,0.079,0.079,,0,0
1949-1950,Bud Grant,11,375.4,12.86,0.42,0.072,0.311,0.072,0.072,0.072,20.44,0.072,0.072,0.072,0.072,0.1,0.4,0.4,0.072,0.072,0.072,0.072,,0,0
1949-1950,Butch van Breda Kolff,1,14.6,0.32,0.532,0.031,0.517,0.031,0.031,0.031,5.66,0.031,0.031,0.031,0.031,0.0,0.0,0.0,0.031,0.031,0.031,0.031,,0,0
1949-1950,Carl Braun,5,124.4,14.94,0.502,0.096,0.559,0.096,0.096,0.096,14.12,0.096,0.096,0.096,0.096,0.7,-0.1,0.6,0.096,0.096,0.096,0.096,,0,1
1949-1950,Carl Shaeffer,6,154.0,11.9,0.387,0.039,0.667,0.039,0.039,0.039,18.78,0.039,0.039,0.039,0.039,0.0,0.0,0.0,0.039,0.039,0.039,0.039,,0,0
1949-1950,Charlie Black,8,223.8,11.8,0.386,0.031,0.475,0.031,0.031,0.031,12.64,0.031,0.031,0.031,0.031,0.0,0.8,0.8,0.031,0.031,0.031,0.031,,0,0
1949-1950,Chick Halbert,2,64.0,15.92,0.476,0.11,0.563,0.11,0.11,0.11,11.78,0.11,0.11,0.11,0.11,0.1,-0.1,0.1,0.11,0.11,0.11,0.11,,0,0
1949-1950,Chick Reiser,2,66.4,11.62,0.361,-0.01,0.407,-0.01,-0.01,-0.01,13.94,-0.01,-0.01,-0.01,-0.01,-0.1,-0.1,-0.2,-0.01,-0.01,-0.01,-0.01,,0,0
1949-1950,Chink Crossin,2,56.8,12.04,0.42,0.039,0.333,0.039,0.039,0.039,9.54,0.039,0.039,0.039,0.039,0.1,0.1,0.1,0.039,0.039,0.039,0.039,,0,0
1949-1950,Chips Sobek,3,60.8,21.08,0.592,0.223,0.8,0.223,0.223,0.223,15.94,0.223,0.223,0.223,0.223,0.4,0.0,0.4,0.223,0.223,0.223,0.223,,0,0
1949-1950,Cliff Barker,6,203.0,14.52,0.452,0.089,0.484,0.089,0.089,0.089,13.9,0.089,0.089,0.089,0.089,0.2,0.0,0.2,0.089,0.089,0.089,0.089,,0,0
1949-1950,Clint Wager,4,115.8,13.88,0.51,0.071,0.4,0.071,0.071,0.071,15.68,0.071,0.071,0.071,0.071,0.3,0.2,0.4,0.071,0.071,0.071,0.071,,0,0
1949-1950,Connie Simmons,5,122.6,12.94,0.426,0.047,0.525,0.047,0.047,0.047,16.4,0.047,0.047,0.047,0.047,0.1,-0.1,0.0,0.047,0.047,0.047,0.047,,0,0
1949-1950,Curly Armstrong,3,59.4,3.22,0.189,-0.169,0.182,-0.169,-0.169,-0.169,12.36,-0.169,-0.169,-0.169,-0.169,-0.3,0.1,-0.3,-0.169,-0.169,-0.169,-0.169,,0,0
1949-1950,Dee Gibson,3,115.6,14.48,0.417,0.067,0.455,0.067,0.067,0.067,15.5,0.067,0.067,0.067,0.067,0.0,0.0,0.1,0.067,0.067,0.067,0.067,,0,0
1949-1950,Dick McGuire,5,122.8,20.0,0.497,0.139,0.5,0.139,0.139,0.139,9.76,0.139,0.139,0.139,0.139,0.5,-0.1,0.4,0.139,0.139,0.139,0.139,,0,1
1949-1950,Dick O'Keefe,2,64.0,15.92,0.454,0.11,0.615,0.11,0.11,0.11,11.78,0.11,0.11,0.11,0.11,0.1,-0.1,0.0,0.11,0.11,0.11,0.11,,0,0
1949-1950,Dick Schulz,3,78.8,16.08,0.448,0.13,1.111,0.13,0.13,0.13,22.62,0.13,0.13,0.13,0.13,0.1,0.0,0.1,0.13,0.13,0.13,0.13,,0,0
1949-1950,Dike Eddleman,3,90.0,14.42,0.438,0.099,0.556,0.099,0.099,0.099,9.08,0.099,0.099,0.099,0.099,0.2,0.1,0.2,0.099,0.099,0.099,0.099,,0,0
1949-1950,Dolph Schayes,11,248.0,18.66,0.488,0.174,0.682,0.174,0.174,0.174,13.44,0.174,0.174,0.174,0.174,1.4,0.4,1.8,0.174,0.174,0.174,0.174,,0,0
1949-1950,Don Carlson,10,270.2,16.06,0.619,0.164,0.405,0.164,0.164,0.164,12.82,0.164,0.164,0.164,0.164,0.8,0.3,1.1,0.164,0.164,0.164,0.164,,0,0
1949-1950,Don Otten,2,61.4,19.12,0.563,0.182,1.04,0.182,0.182,0.182,23.4,0.182,0.182,0.182,0.182,0.4,-0.1,0.3,0.182,0.182,0.182,0.182,,0,0
1949-1950,Don Ray,3,65.2,20.7,0.504,0.224,0.846,0.224,0.224,0.224,15.26,0.224,0.224,0.224,0.224,0.1,0.0,0.2,0.224,0.224,0.224,0.224,,0,0
1949-1950,Duane Klueh,2,49.0,12.86,0.369,-0.006,0.5,-0.006,-0.006,-0.006,11.82,-0.006,-0.006,-0.006,-0.006,0.0,0.1,0.0,-0.006,-0.006,-0.006,-0.006,,0,0
1949-1950,Ed Mikan,2,53.0,15.54,0.451,0.069,0.458,0.069,0.069,0.069,7.58,0.069,0.069,0.069,0.069,0.1,0.0,0.1,0.069,0.069,0.069,0.069,,0,0
1949-1950,Ed Peterson,11,331.8,13.76,0.448,0.089,0.326,0.089,0.089,0.089,16.16,0.089,0.089,0.089,0.089,0.2,0.2,0.4,0.089,0.089,0.089,0.089,,0,0
1949-1950,Ed Stanczak,8,240.0,14.74,0.417,0.08,0.625,0.08,0.08,0.08,18.24,0.08,0.08,0.08,0.08,0.1,0.5,0.7,0.08,0.08,0.08,0.08,,0,0
1949-1950,Ernie Vandeweghe,4,97.6,10.86,0.484,0.021,0.615,0.021,0.021,0.021,11.26,0.021,0.021,0.021,0.021,0.2,-0.1,0.2,0.021,0.021,0.021,0.021,,0,0
1949-1950,Fran Curran,2,37.8,8.98,0.336,-0.113,0.143,-0.113,-0.113,-0.113,10.02,-0.113,-0.113,-0.113,-0.113,0.0,0.0,0.0,-0.113,-0.113,-0.113,-0.113,,0,0
1949-1950,Frank Gates,7,76.4,5.96,0.302,-0.056,0.27,-0.056,-0.056,-0.056,10.44,-0.056,-0.056,-0.056,-0.056,-0.3,0.4,0.1,-0.056,-0.056,-0.056,-0.056,,0,0
1949-1950,Frank Kudelka,2,57.0,2.32,0.23,-0.167,0.2,-0.167,-0.167,-0.167,14.72,-0.167,-0.167,-0.167,-0.167,-0.1,0.0,-0.1,-0.167,-0.167,-0.167,-0.167,,0,0
1949-1950,Frankie Brian,8,223.8,11.8,0.406,0.031,0.5,0.031,0.031,0.031,12.64,0.031,0.031,0.031,0.031,0.1,0.7,0.9,0.031,0.031,0.031,0.031,,0,0
1949-1950,Fred Schaus,4,85.4,10.8,0.465,0.029,0.47,0.029,0.029,0.029,18.94,0.029,0.029,0.029,0.029,0.4,0.1,0.6,0.029,0.029,0.029,0.029,,0,0
1949-1950,Fred Scolari,2,62.2,19.66,0.581,0.196,0.407,0.196,0.196,0.196,15.16,0.196,0.196,0.196,0.196,0.4,-0.1,0.3,0.196,0.196,0.196,0.196,,0,0
1949-1950,Gene Englund,2,29.4,16.76,0.559,0.177,2.2,0.177,0.177,0.177,8.38,0.177,0.177,0.177,0.177,0.1,0.0,0.1,0.177,0.177,0.177,0.177,,0,0
1949-1950,Gene James,1,2.8,4.82,0.333,-0.116,0.0,-0.116,-0.116,-0.116,20.0,-0.116,-0.116,-0.116,-0.116,0.0,0.0,0.0,-0.116,-0.116,-0.116,-0.116,,0,0
1949-1950,Gene Vance,3,66.6,4.26,0.268,-0.146,0.323,-0.146,-0.146,-0.146,11.0,-0.146,-0.146,-0.146,-0.146,-0.3,0.1,-0.3,-0.146,-0.146,-0.146,-0.146,,0,0
1949-1950,George Mikan,12,406.8,18.18,0.481,0.163,0.538,0.163,0.163,0.163,13.1,0.163,0.163,0.163,0.163,2.5,1.2,3.7,0.163,0.163,0.163,0.163,,0,1
1949-1950,George Ratkovicz,11,284.4,17.3,0.47,0.146,0.603,0.146,0.146,0.146,15.0,0.146,0.146,0.146,0.146,0.9,0.4,1.2,0.146,0.146,0.146,0.146,,0,0
1949-1950,George Senesky,2,64.0,14.48,0.394,0.035,0.25,0.035,0.035,0.035,20.96,0.035,0.035,0.035,0.035,0.0,0.0,0.0,0.035,0.035,0.035,0.035,,0,0
1949-1950,Harry Donovan,3,51.8,3.14,0.205,-0.111,0.5,-0.111,-0.111,-0.111,7.82,-0.111,-0.111,-0.111,-0.111,-0.1,0.0,-0.1,-0.111,-0.111,-0.111,-0.111,,0,0
1949-1950,Harry Gallatin,5,122.4,16.1,0.492,0.109,0.615,0.109,0.109,0.109,15.14,0.109,0.109,0.109,0.109,0.5,-0.1,0.4,0.109,0.109,0.109,0.109,,0,0
1949-1950,Herm Schaefer,12,354.6,16.84,0.493,0.154,0.524,0.154,0.154,0.154,14.02,0.154,0.154,0.154,0.154,0.4,0.3,0.7,0.154,0.154,0.154,0.154,,0,0
1949-1950,Hook Dillon,1,1.2,-4.46,1.064,0.017,2.0,0.017,0.017,0.017,0.0,0.017,0.017,0.017,0.017,0.1,0.0,0.1,0.017,0.017,0.017,0.017,,0,0
1949-1950,Howie Schultz,4,59.8,5.24,0.314,-0.123,0.279,-0.123,-0.123,-0.123,11.6,-0.123,-0.123,-0.123,-0.123,-0.4,0.1,-0.3,-0.123,-0.123,-0.123,-0.123,,0,0
1949-1950,Jack Burmaster,3,41.0,18.24,0.549,0.211,0.129,0.211,0.211,0.211,9.02,0.211,0.211,0.211,0.211,0.4,0.0,0.4,0.211,0.211,0.211,0.211,,0,0
1949-1950,Jack Coleman,2,63.8,8.96,0.367,-0.04,0.05,-0.04,-0.04,-0.04,14.62,-0.04,-0.04,-0.04,-0.04,0.0,0.0,-0.1,-0.04,-0.04,-0.04,-0.04,,0,0
1949-1950,Jack Kerris,4,94.8,13.06,0.466,0.045,0.733,0.045,0.045,0.045,14.1,0.045,0.045,0.045,0.045,0.2,0.1,0.3,0.045,0.045,0.045,0.045,,0,0
1949-1950,Jack Nichols,3,84.4,10.46,0.401,0.031,0.517,0.031,0.031,0.031,8.8,0.031,0.031,0.031,0.031,0.0,0.1,0.1,0.031,0.031,0.031,0.031,,0,0
1949-1950,Jack Phelan,3,90.6,10.68,0.442,0.009,0.3,0.009,0.009,0.009,9.6,0.009,0.009,0.009,0.009,0.0,0.0,0.0,0.009,0.009,0.009,0.009,,0,0
1949-1950,Jake Bornheimer,2,59.2,6.94,0.333,-0.05,0.0,-0.05,-0.05,-0.05,16.66,-0.05,-0.05,-0.05,-0.05,0.0,0.0,0.0,-0.05,-0.05,-0.05,-0.05,,0,0
1949-1950,Jake Carter,8,145.6,9.64,0.212,-0.037,0.286,-0.037,-0.037,-0.037,15.14,-0.037,-0.037,-0.037,-0.037,-0.4,0.2,-0.1,-0.037,-0.037,-0.037,-0.037,,0,0
1949-1950,Jerry Fleishman,2,47.6,2.76,0.291,-0.146,0.333,-0.146,-0.146,-0.146,6.48,-0.146,-0.146,-0.146,-0.146,0.0,0.1,0.0,-0.146,-0.146,-0.146,-0.146,,0,0
1949-1950,Jim Pollard,12,294.2,9.64,0.356,0.024,0.354,0.024,0.024,0.024,12.4,0.024,0.024,0.024,0.024,-0.5,1.0,0.5,0.024,0.024,0.024,0.024,,0,1
1949-1950,Joe Fulks,2,49.0,0.1,0.247,-0.232,0.385,-0.232,-0.232,-0.232,20.68,-0.232,-0.232,-0.232,-0.232,-0.4,0.1,-0.3,-0.232,-0.232,-0.232,-0.232,,0,1
1949-1950,Joe Graboski,1,14.6,0.32,0.532,0.031,0.517,0.031,0.031,0.031,5.66,0.031,0.031,0.031,0.031,0.0,0.0,0.0,0.031,0.031,0.031,0.031,,0,0
1949-1950,Joe Holland,6,116.2,7.56,0.355,-0.063,0.246,-0.063,-0.063,-0.063,12.24,-0.063,-0.063,-0.063,-0.063,-0.2,0.0,-0.2,-0.063,-0.063,-0.063,-0.063,,0,0
1949-1950,John Hargis,8,262.2,18.0,0.451,0.111,0.528,0.111,0.111,0.111,15.32,0.111,0.111,0.111,0.111,0.5,0.7,1.2,0.111,0.111,0.111,0.111,,0,0
1949-1950,John Oldham,4,97.6,12.7,0.537,0.068,0.63,0.068,0.068,0.068,13.24,0.068,0.068,0.068,0.068,0.4,0.1,0.5,0.068,0.068,0.068,0.068,,0,0
1949-1950,Johnny Macknowski,11,378.6,18.1,0.478,0.134,0.51,0.134,0.134,0.134,12.8,0.134,0.134,0.134,0.134,0.8,0.2,1.0,0.134,0.134,0.134,0.134,,0,0
1949-1950,Kenny Rollins,2,16.6,-9.06,0.0,-0.341,0.0,-0.341,-0.341,-0.341,8.94,-0.341,-0.341,-0.341,-0.341,-0.1,0.0,-0.1,-0.341,-0.341,-0.341,-0.341,,0,0
1949-1950,Kleggie Hermsen,2,60.8,8.52,0.344,-0.07,0.208,-0.07,-0.07,-0.07,10.16,-0.07,-0.07,-0.07,-0.07,-0.1,0.0,-0.1,-0.07,-0.07,-0.07,-0.07,,0,0
1949-1950,Leo Barnhorst,2,55.2,14.62,0.398,0.043,0.24,0.043,0.043,0.043,20.78,0.043,0.043,0.043,0.043,0.0,0.0,0.0,0.043,0.043,0.043,0.043,,0,0
1949-1950,Leo Katkaveck,2,64.0,2.68,0.209,-0.141,0.231,-0.141,-0.141,-0.141,15.7,-0.141,-0.141,-0.141,-0.141,-0.2,-0.1,-0.2,-0.141,-0.141,-0.141,-0.141,,0,0
1949-1950,Leo Klier,2,36.4,-3.08,0.145,-0.26,0.333,-0.26,-0.26,-0.26,15.14,-0.26,-0.26,-0.26,-0.26,-0.1,0.0,0.0,-0.26,-0.26,-0.26,-0.26,,0,0
1949-1950,Leo Mogus,2,49.0,0.1,0.237,-0.232,0.389,-0.232,-0.232,-0.232,20.68,-0.232,-0.232,-0.232,-0.232,-0.3,0.1,-0.1,-0.232,-0.232,-0.232,-0.232,,0,0
1949-1950,Leroy Chollet,8,184.4,8.94,0.299,-0.005,0.5,-0.005,-0.005,-0.005,11.5,-0.005,-0.005,-0.005,-0.005,-0.2,0.1,-0.1,-0.005,-0.005,-0.005,-0.005,,0,0
1949-1950,Mal McMullen,6,110.8,5.88,0.28,-0.056,0.429,-0.056,-0.056,-0.056,12.92,-0.056,-0.056,-0.056,-0.056,-0.2,0.0,-0.2,-0.056,-0.056,-0.056,-0.056,,0,0
1949-1950,Marshall Hawkins,2,16.6,-9.06,0.0,-0.341,0.0,-0.341,-0.341,-0.341,8.94,-0.341,-0.341,-0.341,-0.341,0.0,0.0,0.0,-0.341,-0.341,-0.341,-0.341,,0,0
1949-1950,Max Morris,3,89.4,12.42,0.418,0.039,0.65,0.039,0.039,0.039,20.0,0.039,0.039,0.039,0.039,0.1,0.0,0.1,0.039,0.039,0.039,0.039,,0,0
1949-1950,Max Zaslofsky,2,79.4,16.72,0.564,0.159,0.563,0.159,0.159,0.159,13.98,0.159,0.159,0.159,0.159,0.5,0.0,0.5,0.159,0.159,0.159,0.159,,0,0
1949-1950,Mike Todorovich,3,48.4,6.04,0.373,0.004,0.774,0.004,0.004,0.004,5.96,0.004,0.004,0.004,0.004,0.0,0.1,0.0,0.004,0.004,0.004,0.004,,0,0
1949-1950,Milo Komenich,8,137.2,10.04,0.285,-0.027,0.262,-0.027,-0.027,-0.027,13.9,-0.027,-0.027,-0.027,-0.027,-1.1,0.8,-0.2,-0.027,-0.027,-0.027,-0.027,,0,0
1949-1950,Milt Schoon,3,96.8,9.96,0.397,0.028,0.588,0.028,0.028,0.028,11.88,0.028,0.028,0.028,0.028,0.0,0.0,0.0,0.028,0.028,0.028,0.028,,0,0
1949-1950,Murray Wier,3,63.0,6.16,0.399,0.018,0.889,0.018,0.018,0.018,16.72,0.018,0.018,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.018,,0,0
1949-1950,Nelson Bobb,2,59.2,6.94,0.333,-0.05,0.0,-0.05,-0.05,-0.05,16.66,-0.05,-0.05,-0.05,-0.05,0.0,0.0,0.0,-0.05,-0.05,-0.05,-0.05,,0,0
1949-1950,Noble Jorgensen,3,95.0,16.5,0.455,0.139,0.682,0.139,0.139,0.139,21.96,0.139,0.139,0.139,0.139,0.2,0.0,0.3,0.139,0.139,0.139,0.139,,0,0
1949-1950,Odie Spears,2,53.0,15.54,0.436,0.069,0.455,0.069,0.069,0.069,7.58,0.069,0.069,0.069,0.069,0.1,0.0,0.1,0.069,0.069,0.069,0.069,,0,0
1949-1950,Paul Noel,5,77.0,8.18,0.18,-0.034,0.429,-0.034,-0.034,-0.034,8.38,-0.034,-0.034,-0.034,-0.034,-0.1,0.0,-0.1,-0.034,-0.034,-0.034,-0.034,,0,0
1949-1950,Paul Seymour,11,295.6,10.1,0.37,0.031,0.301,0.031,0.031,0.031,15.78,0.031,0.031,0.031,0.031,-0.1,0.3,0.2,0.031,0.031,0.031,0.031,,0,0
1949-1950,Paul Walther,6,149.0,9.44,0.334,0.01,0.463,0.01,0.01,0.01,15.24,0.01,0.01,0.01,0.01,-0.2,0.0,-0.2,0.01,0.01,0.01,0.01,,0,0
1949-1950,Pep Saul,2,70.2,19.72,0.592,0.196,0.385,0.196,0.196,0.196,15.16,0.196,0.196,0.196,0.196,0.2,0.0,0.2,0.196,0.196,0.196,0.196,,0,0
1949-1950,Ralph Beard,5,147.6,11.9,0.401,0.042,0.4,0.042,0.042,0.042,13.44,0.042,0.042,0.042,0.042,0.1,0.0,0.1,0.042,0.042,0.042,0.042,,0,0
1949-1950,Ralph Johnson,4,86.2,8.82,0.359,-0.015,0.5,-0.015,-0.015,-0.015,13.84,-0.015,-0.015,-0.015,-0.015,-0.1,0.1,0.0,-0.015,-0.015,-0.015,-0.015,,0,0
1949-1950,Ray Corley,6,114.8,4.84,0.208,-0.108,0.306,-0.108,-0.108,-0.108,12.46,-0.108,-0.108,-0.108,-0.108,-0.6,0.1,-0.5,-0.108,-0.108,-0.108,-0.108,,0,0
1949-1950,Ray Lumpp,5,128.4,14.82,0.569,0.086,0.167,0.086,0.086,0.086,16.9,0.086,0.086,0.086,0.086,0.2,0.0,0.2,0.086,0.086,0.086,0.086,,0,0
1949-1950,Red Holzman,2,60.8,8.52,0.354,-0.07,0.222,-0.07,-0.07,-0.07,10.16,-0.07,-0.07,-0.07,-0.07,0.0,0.0,-0.1,-0.07,-0.07,-0.07,-0.07,,0,0
1949-1950,Red Owens,8,241.6,12.32,0.374,0.034,0.461,0.034,0.034,0.034,14.86,0.034,0.034,0.034,0.034,-0.2,0.9,0.7,0.034,0.034,0.034,0.034,,0,0
1949-1950,Richie Niemiera,8,214.2,11.48,0.459,0.059,0.296,0.059,0.059,0.059,11.34,0.059,0.059,0.059,0.059,0.2,0.3,0.4,0.059,0.059,0.059,0.059,,0,0
1949-1950,Ron Livingstone,2,61.2,13.04,0.419,0.02,0.438,0.02,0.02,0.02,12.32,0.02,0.02,0.02,0.02,0.1,0.1,0.2,0.02,0.02,0.02,0.02,,0,0
1949-1950,Slater Martin,12,363.0,14.86,0.462,0.137,0.48,0.137,0.137,0.137,14.3,0.137,0.137,0.137,0.137,0.4,0.6,1.0,0.137,0.137,0.137,0.137,,0,1
1949-1950,Stan Miasek,1,1.2,-4.46,0.563,0.017,0.25,0.017,0.017,0.017,0.0,0.017,0.017,0.017,0.017,0.1,0.0,0.1,0.017,0.017,0.017,0.017,,0,0
1949-1950,Stan Patrick,3,96.0,23.88,0.601,0.241,0.429,0.241,0.241,0.241,22.04,0.241,0.241,0.241,0.241,0.1,0.0,0.1,0.241,0.241,0.241,0.241,,0,0
1949-1950,Tex Ritter,5,110.8,16.54,0.496,0.138,0.848,0.138,0.138,0.138,14.4,0.138,0.138,0.138,0.138,0.3,-0.1,0.3,0.138,0.138,0.138,0.138,,0,0
1949-1950,Tony Jaros,2,44.4,2.14,0.129,-0.132,0.667,-0.132,-0.132,-0.132,12.64,-0.132,-0.132,-0.132,-0.132,-0.1,0.0,-0.1,-0.132,-0.132,-0.132,-0.132,,0,0
1949-1950,Vern Gardner,2,62.6,10.5,0.375,-0.052,0.205,-0.052,-0.052,-0.052,12.36,-0.052,-0.052,-0.052,-0.052,-0.1,0.1,0.0,-0.052,-0.052,-0.052,-0.052,,0,0
1949-1950,Vern Mikkelsen,12,348.6,12.06,0.445,0.085,0.403,0.085,0.085,0.085,14.38,0.085,0.085,0.085,0.085,0.6,0.8,1.5,0.085,0.085,0.085,0.085,,0,0
1949-1950,Vince Boryla,5,122.4,16.1,0.567,0.109,0.615,0.109,0.109,0.109,15.14,0.109,0.109,0.109,0.109,0.8,-0.1,0.7,0.109,0.109,0.109,0.109,,0,0
1949-1950,Wah Wah Jones,5,117.4,11.26,0.415,0.018,0.466,0.018,0.018,0.018,14.38,0.018,0.018,0.018,0.018,0.2,0.0,0.2,0.018,0.018,0.018,0.018,,0,0
1949-1950,Walt Kirk,3,43.4,6.12,0.259,-0.033,0.857,-0.033,-0.033,-0.033,10.4,-0.033,-0.033,-0.033,-0.033,-0.1,0.0,-0.1,-0.033,-0.033,-0.033,-0.033,,0,0
1949-1950,Warren Perkins,2,66.0,20.16,1.0,0.205,0.0,0.205,0.205,0.205,11.18,0.205,0.205,0.205,0.205,0.0,0.0,0.0,0.205,0.205,0.205,0.205,,0,0
1950-1951,Al Cervi,7,198.4,17.56,0.5,0.157,0.893,0.157,0.157,0.157,19.04,0.157,0.157,0.157,0.157,0.6,0.2,0.8,0.157,0.157,0.157,0.157,,0,0
1950-1951,Alex Groza,3,95.8,24.2,0.554,0.227,0.452,0.227,0.227,0.227,21.36,0.227,0.227,0.227,0.227,0.8,0.2,1.0,0.227,0.227,0.227,0.227,,0,0
1950-1951,Alex Hannum,7,149.4,11.9,0.484,0.059,0.256,0.059,0.059,0.059,10.0,0.059,0.059,0.059,0.059,0.2,0.2,0.5,0.059,0.059,0.059,0.059,,0,0
1950-1951,Andy Phillip,2,51.8,10.8,0.425,0.028,0.4,0.028,0.028,0.028,14.74,0.028,0.028,0.028,0.028,0.0,0.0,0.1,0.028,0.028,0.028,0.028,,0,0
1950-1951,Arnie Ferrin,7,233.2,13.82,0.467,0.089,0.5,0.089,0.089,0.089,13.6,0.089,0.089,0.089,0.089,0.2,0.1,0.3,0.089,0.089,0.089,0.089,,0,0
1950-1951,Arnie Johnson,14,472.8,16.9,0.555,0.119,0.729,0.119,0.119,0.119,15.1,0.119,0.119,0.119,0.119,1.6,0.8,2.4,0.119,0.119,0.119,0.119,,0,0
