Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
2020-2021,Mikal Bridges,22,707.0,12.9,0.603,0.5,0.147,3.3,11.0,7.4,7.1,1.6,2.0,7.3,14.1,0.8,1.0,1.8,0.125,0.8,0.9,1.7,0.7,0,0
2020-2021,Mike Conley,6,176.0,18.5,0.613,0.544,0.235,2.1,11.4,6.9,39.4,0.3,1.5,15.7,22.4,0.6,0.0,0.6,0.153,4.2,-1.2,3.0,0.2,0,0
2020-2021,Mike James,9,103.0,6.2,0.384,0.372,0.0,2.2,14.4,8.6,16.5,1.0,0.0,6.5,20.3,-0.2,0.1,-0.1,-0.029,-4.9,-0.9,-5.9,-0.1,0,0
2020-2021,Mike Scott,5,34.0,4.9,0.333,0.778,0.0,3.3,6.2,4.8,10.7,1.4,2.4,0.0,11.4,0.0,0.0,0.0,0.029,-3.4,0.2,-3.2,0.0,0,0
2020-2021,Miye Oni,8,41.0,-3.6,0.0,1.0,0.0,8.9,0.0,4.3,0.0,1.2,0.0,0.0,5.4,-0.1,0.0,-0.1,-0.104,-8.8,-1.9,-10.7,-0.1,0,0
2020-2021,Monte Morris,10,286.0,17.3,0.532,0.345,0.25,2.6,7.3,4.7,28.1,1.7,0.7,5.2,20.7,0.6,0.0,0.6,0.101,2.2,0.3,2.5,0.3,0,0
2020-2021,Montrezl Harrell,4,39.0,22.5,0.64,0.0,0.643,13.9,15.1,14.5,0.0,2.6,0.0,10.0,22.8,0.1,0.1,0.2,0.193,3.7,0.4,4.1,0.1,0,0
2020-2021,Nassir Little,3,9.0,5.5,0.434,1.0,1.0,0.0,12.5,6.4,0.0,0.0,10.3,14.8,33.9,0.0,0.0,0.0,-0.228,-4.6,-3.7,-8.3,0.0,0,0
2020-2021,Nathan Knight,6,14.0,2.7,0.254,0.286,0.286,0.0,46.3,23.4,0.0,0.0,12.3,0.0,24.9,-0.1,0.0,-0.1,-0.181,-10.4,-0.4,-10.8,0.0,0,0
2020-2021,Nemanja Bjelica,2,30.0,22.1,0.66,0.727,0.545,3.1,13.5,8.1,12.1,3.2,3.0,0.0,20.0,0.1,0.0,0.1,0.221,6.4,3.7,10.1,0.1,0,0
2020-2021,Nerlens Noel,5,92.0,12.7,0.675,0.0,1.6,10.9,12.2,11.5,1.6,2.2,3.2,19.0,10.1,0.1,0.2,0.3,0.158,-3.6,3.1,-0.5,0.0,0,0
2020-2021,Nic Claxton,12,130.0,13.5,0.495,0.0,0.103,12.4,15.5,14.0,7.4,1.5,8.3,11.7,12.0,0.1,0.3,0.4,0.136,-2.6,2.2,-0.4,0.1,0,0
2020-2021,Nicolas Batum,19,555.0,14.9,0.642,0.661,0.211,4.0,17.7,10.9,9.8,2.2,1.8,4.8,10.5,1.2,0.6,1.8,0.155,2.0,2.2,4.3,0.9,0,0
2020-2021,Nicolò Melli,3,19.0,-1.4,0.0,0.5,0.0,11.6,25.8,18.4,0.0,2.8,0.0,0.0,9.6,-0.1,0.0,-0.1,-0.137,-8.6,-1.4,-10.1,0.0,0,0
2020-2021,Nikola Jokić,10,345.0,29.6,0.591,0.232,0.241,11.3,28.0,19.0,27.7,0.9,2.5,8.7,34.8,1.2,0.1,1.3,0.181,8.8,0.2,9.0,0.9,0,0
2020-2021,Norman Powell,6,216.0,14.3,0.608,0.342,0.237,1.6,5.2,3.5,8.3,1.2,2.6,7.7,19.0,0.3,0.0,0.3,0.064,0.4,-0.7,-0.3,0.1,0,0
2020-2021,Obi Toppin,5,65.0,15.1,0.624,0.391,0.261,6.2,15.6,10.6,5.8,0.0,1.5,10.5,19.5,0.1,0.1,0.2,0.12,0.5,1.0,1.6,0.1,0,0
2020-2021,Onyeka Okongwu,18,166.0,15.8,0.596,0.032,0.677,13.9,17.6,15.8,1.7,1.5,6.7,9.0,11.8,0.3,0.3,0.6,0.178,-1.1,1.4,0.3,0.1,0,0
2020-2021,P.J. Tucker,23,681.0,6.8,0.491,0.602,0.041,7.4,10.1,8.7,4.5,1.6,0.4,9.1,6.9,0.4,1.0,1.4,0.101,-3.4,1.7,-1.7,0.0,0,0
2020-2021,Pat Connaughton,23,546.0,11.2,0.633,0.798,0.109,5.6,14.4,9.9,4.8,0.9,1.0,8.8,10.7,0.8,0.8,1.6,0.143,-0.1,0.9,0.8,0.4,0,0
2020-2021,Patrick Beverley,17,323.0,12.0,0.56,0.544,0.206,4.0,10.6,7.3,10.3,1.9,3.6,5.1,11.3,0.5,0.3,0.8,0.116,-0.4,1.9,1.6,0.3,0,0
2020-2021,Paul George,19,776.0,20.0,0.578,0.406,0.412,2.6,24.4,13.6,21.8,1.3,1.3,13.2,30.5,1.1,0.8,1.9,0.116,2.5,0.0,2.5,0.9,0,0
2020-2021,Paul Millsap,9,109.0,18.3,0.52,0.46,0.26,8.7,29.1,18.1,20.9,1.4,5.2,12.6,25.4,0.1,0.1,0.1,0.06,0.4,1.7,2.1,0.1,0,0
2020-2021,Paul Reed,3,11.0,24.5,0.5,0.0,0.0,31.0,48.2,39.9,0.0,0.0,7.4,0.0,15.7,0.0,0.0,0.1,0.256,2.7,-1.9,0.8,0.0,0,0
2020-2021,Payton Pritchard,5,67.0,10.1,0.475,0.588,0.118,3.3,12.8,7.8,25.2,1.5,0.0,14.4,13.2,0.0,-0.1,0.0,-0.01,-1.4,-0.8,-2.1,0.0,0,0
2020-2021,Precious Achiuwa,3,12.0,8.1,0.608,0.0,1.0,0.0,50.8,24.3,0.0,0.0,15.2,41.0,35.7,-0.1,0.0,-0.1,-0.309,-11.3,2.8,-8.5,0.0,0,0
2020-2021,RJ Barrett,5,162.0,14.2,0.489,0.418,0.224,2.5,22.3,11.8,16.6,1.3,1.2,2.6,20.7,0.1,0.3,0.3,0.104,0.5,2.6,3.2,0.2,0,0
2020-2021,Rajon Rondo,13,220.0,10.6,0.472,0.528,0.226,2.1,15.5,8.9,31.0,1.2,1.3,19.4,15.3,0.1,0.2,0.2,0.054,-1.6,-1.1,-2.7,0.0,0,0
2020-2021,Raul Neto,5,112.0,5.5,0.442,0.441,0.147,2.8,8.1,5.3,6.0,0.8,0.0,2.7,13.9,0.0,0.0,-0.1,-0.023,-3.7,-2.1,-5.8,-0.1,0,0
2020-2021,Rayjon Tucker,1,2.0,3.5,0.568,0.267,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.125,-14.1,-2.3,-16.4,0.0,0,0
2020-2021,Reggie Bullock,5,162.0,7.5,0.534,0.744,0.128,3.1,8.3,5.6,5.9,0.9,0.6,8.8,12.4,0.0,0.2,0.2,0.061,-2.4,1.1,-1.2,0.0,0,0
2020-2021,Reggie Jackson,19,622.0,17.3,0.626,0.563,0.163,1.3,9.7,5.6,16.9,1.5,0.5,9.4,22.3,1.3,0.4,1.7,0.129,2.6,0.3,2.9,0.8,0,0
2020-2021,Reggie Perry,5,22.0,20.5,0.615,0.385,0.0,21.0,9.6,15.1,8.7,2.3,0.0,18.8,33.0,0.0,0.0,0.0,0.078,0.2,-1.1,-0.9,0.0,0,0
2020-2021,Robert Covington,6,228.0,11.5,0.693,0.611,0.278,4.7,18.8,11.9,4.0,2.0,2.4,16.5,9.6,0.3,0.1,0.4,0.078,0.0,1.3,1.3,0.2,0,0
2020-2021,Robert Williams,3,46.0,27.2,0.638,0.0,0.143,19.1,18.6,18.9,7.2,1.1,18.5,6.3,14.6,0.1,0.0,0.2,0.18,3.1,4.8,7.9,0.1,0,0
2020-2021,Robin Lopez,5,73.0,17.3,0.691,0.0,0.16,5.7,7.8,6.7,0.0,0.0,4.4,3.6,15.9,0.2,0.0,0.2,0.106,1.4,-1.2,0.2,0.0,0,0
2020-2021,Romeo Langford,4,109.0,11.7,0.533,0.531,0.125,5.0,5.6,5.3,6.7,1.4,1.7,2.9,13.5,0.1,-0.1,0.0,0.016,0.6,-0.8,-0.1,0.1,0,0
2020-2021,Rondae Hollis-Jefferson,5,36.0,15.1,0.791,0.0,0.6,9.9,15.7,12.8,0.0,1.4,2.6,0.0,7.9,0.1,0.0,0.1,0.159,0.1,-0.3,-0.2,0.0,0,0
2020-2021,Royce O'Neale,11,404.0,13.1,0.687,0.706,0.141,4.8,17.7,11.5,7.9,1.5,0.7,8.1,10.8,0.9,0.1,1.0,0.12,1.4,1.6,3.1,0.5,0,0
2020-2021,Rudy Gobert,11,376.0,21.4,0.736,0.012,0.815,13.9,27.3,20.9,3.6,0.8,5.5,13.4,15.0,1.2,0.3,1.5,0.192,1.6,1.0,2.6,0.4,0,0
2020-2021,Rui Hachimura,5,173.0,13.7,0.708,0.319,0.255,3.0,20.3,11.3,4.3,0.5,0.5,8.7,13.8,0.3,0.0,0.3,0.095,1.0,-0.2,0.8,0.1,0,0
