Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Walt Frazier,1,825,30965.0,69.2,44.5,113.7,15.5,19.136,0.542,0.017,0.342,23.339,0.176,5.029,14.451,7.978,23.017,1.997,1.063,13.873,2.306,0.572,2.889,0,0,0,0,0,7,7,0,4,2,0,0
Elvin Hayes,1,1303,50000.0,37.1,83.8,120.8,21.4,17.736,0.493,0.012,0.332,23.795,0.116,8.513,21.939,15.386,7.005,1.325,2.687,13.676,1.394,0.479,1.838,0,0,0,0,0,12,0,2,3,3,0,0
Wes Unseld,1,984,35832.0,46.0,64.2,110.2,25.3,15.988,0.536,0.016,0.338,20.467,0.147,9.176,22.326,17.345,13.461,1.462,1.354,15.24,1.639,1.267,2.903,1,0,1,0,0,5,0,0,1,0,0,0
Bob Dandridge,1,839,29502.0,47.2,32.9,80.2,15.3,16.694,0.525,0.019,0.256,24.167,0.131,5.771,14.362,9.4,13.469,1.68,0.866,14.283,1.472,0.106,1.569,0,0,0,0,0,4,1,0,0,1,0,0
Connie Hawkins,1,499,17234.0,30.6,16.9,47.6,4.9,17.198,0.533,0.021,0.424,23.311,0.132,5.879,14.774,11.131,16.512,1.74,1.126,14.993,1.663,0.399,2.055,0,0,0,0,0,4,0,0,1,0,0,0
Jo Jo White,1,837,29941.0,20.4,33.6,53.8,6.9,14.162,0.482,0.015,0.178,22.551,0.086,3.649,10.347,5.578,19.217,1.658,0.609,14.762,0.148,0.085,0.234,0,0,0,0,0,7,0,0,0,2,0,0
Kareem Abdul-Jabbar,1,1560,57446.0,179.0,94.5,273.3,85.9,24.585,0.593,0.008,0.328,24.178,0.228,7.873,21.577,15.818,14.594,1.261,3.417,13.698,3.86,1.327,5.187,6,0,1,0,0,19,5,6,10,5,0,0
Bob Lanier,1,959,32103.0,75.4,41.6,117.2,39.4,21.692,0.561,0.012,0.327,22.768,0.175,8.113,20.269,15.618,14.388,1.53,2.261,14.675,3.166,0.894,4.05,0,0,0,0,0,8,0,0,0,0,0,0
Calvin Murphy,1,1002,30607.0,67.5,16.5,84.1,15.8,17.993,0.537,0.025,0.26,23.89,0.132,3.068,6.173,3.535,21.569,2.174,0.318,12.275,1.277,-0.55,0.723,0,0,0,0,0,1,0,0,0,0,0,0
Dave Cowens,1,766,29565.0,30.5,55.9,86.3,21.6,17.027,0.496,0.016,0.209,22.504,0.14,8.122,23.75,17.136,13.7,1.401,1.514,13.719,1.65,0.864,2.524,1,0,1,0,0,8,1,2,0,3,0,0
Pete Maravich,1,658,24316.0,30.6,16.2,46.5,9.0,18.366,0.5,0.017,0.312,25.109,0.092,4.136,10.858,5.522,23.163,1.693,0.698,14.186,1.908,-0.822,1.07,0,0,0,0,0,5,0,0,2,2,0,0
Charlie Scott,1,560,19278.0,12.8,14.1,27.1,2.1,14.471,0.486,0.019,0.25,21.414,0.067,3.448,8.927,5.281,20.648,1.666,0.701,16.103,-0.369,-0.443,-0.802,0,0,0,0,0,4,0,0,0,0,0,0
Bob McAdoo,1,852,28327.0,56.3,32.8,89.0,27.2,20.74,0.55,0.014,0.353,24.801,0.151,7.517,21.164,14.711,10.483,1.364,2.125,14.622,2.269,-0.219,2.075,1,0,1,0,0,5,0,0,1,1,0,0
Paul Westphal,1,823,20947.0,44.6,23.0,67.5,24.7,19.419,0.555,0.04,0.315,24.647,0.155,2.171,6.048,4.017,26.226,2.235,0.685,14.449,2.579,0.131,2.696,0,0,0,0,0,5,0,0,3,1,0,0
Roger Brown,1,77,818.0,-0.2,0.8,0.7,-0.2,8.171,0.442,0.002,0.324,22.383,0.035,10.061,19.313,14.61,3.579,1.169,2.968,15.884,-3.606,0.458,-3.188,0,0,0,0,0,1,0,0,0,0,0,0
Bill Walton,1,468,13250.0,14.6,24.6,39.3,21.4,20.042,0.553,0.022,0.353,21.823,0.142,9.155,30.185,19.843,17.063,1.313,4.246,18.31,1.851,2.479,4.358,1,0,0,0,0,2,2,0,1,1,0,1
Jamaal Wilkes,1,828,27275.0,43.3,27.8,71.4,14.3,16.51,0.533,0.014,0.232,22.748,0.125,6.553,12.885,9.818,10.207,1.757,0.511,12.117,0.831,-0.771,0.056,0,0,1,0,0,3,0,2,0,0,0,0
George McGinnis,1,528,16194.0,9.3,27.0,36.1,13.1,18.559,0.493,0.022,0.473,24.689,0.107,10.242,22.459,16.384,18.097,2.601,0.782,17.227,0.629,0.555,1.216,0,0,0,0,0,3,0,0,1,1,0,0
Adrian Dantley,1,955,34151.0,111.4,22.7,134.4,43.6,21.506,0.615,0.009,0.554,25.926,0.189,7.087,10.062,8.601,12.992,1.301,0.235,12.827,4.13,-1.046,3.077,0,0,1,0,0,6,0,0,0,2,0,0
Alex English,1,1193,38063.0,77.5,23.0,100.7,38.1,19.872,0.549,0.006,0.243,26.4,0.127,7.449,10.568,8.98,17.108,1.27,1.143,11.172,3.25,-1.274,1.977,0,0,0,0,0,8,0,0,0,3,0,0
Artis Gilmore,1,909,29685.0,70.9,36.6,107.5,34.6,20.158,0.646,0.004,0.615,20.488,0.174,9.961,23.824,17.031,8.877,0.745,3.247,17.614,2.165,0.482,2.638,0,0,0,0,0,6,0,1,0,0,0,0
Bobby Jones,1,865,21044.0,40.4,34.4,74.6,30.1,17.564,0.601,0.018,0.434,17.45,0.17,7.094,15.062,11.208,12.742,2.354,2.557,16.11,1.599,2.068,3.671,0,0,0,0,0,4,8,1,0,0,0,1
Dan Issel,1,718,22342.0,63.1,19.2,82.4,24.2,20.993,0.572,0.012,0.445,24.216,0.177,7.834,18.694,13.241,11.661,1.401,0.914,10.922,3.128,-0.856,2.294,0,0,0,0,0,1,0,0,0,0,0,0
David Thompson,1,509,16305.0,40.5,10.4,50.7,16.9,19.669,0.565,0.024,0.433,25.923,0.15,4.786,7.449,6.141,15.349,1.245,1.3,12.354,3.149,-1.067,2.061,0,0,0,0,0,4,0,0,2,0,0,0
Dennis Johnson,1,1100,35954.0,39.9,42.7,82.7,24.6,14.631,0.511,0.042,0.359,20.103,0.11,4.456,8.279,6.456,20.4,1.929,1.028,14.705,0.258,0.427,0.671,0,0,0,0,0,5,6,3,1,1,0,0
George Gervin,1,791,26536.0,70.3,17.7,88.2,29.8,21.743,0.572,0.021,0.344,29.964,0.159,4.89,9.548,7.273,13.007,1.599,1.313,11.589,3.604,-1.156,2.438,0,0,0,0,0,9,0,0,5,2,0,0
Julius Erving,1,836,28677.0,62.1,44.3,106.1,51.7,21.969,0.557,0.02,0.347,26.68,0.178,8.125,12.721,10.511,17.728,2.455,2.49,13.345,3.949,1.214,5.161,1,0,0,0,0,11,0,0,5,2,0,0
Louie Dampier,1,232,4431.0,4.9,1.9,6.8,1.1,12.414,0.511,0.01,0.16,17.083,0.073,1.491,4.558,3.065,18.108,1.696,0.371,13.003,-0.314,-0.703,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
Moses Malone,1,1329,45071.0,112.6,54.6,167.1,42.4,22.306,0.568,0.007,0.582,25.659,0.178,16.38,23.28,19.831,6.003,1.167,2.187,14.322,3.309,-1.587,1.736,3,0,0,0,0,12,1,1,4,4,0,0
Robert Parish,1,1611,45704.0,74.1,72.9,147.0,40.6,19.225,0.572,0.002,0.319,21.586,0.154,11.504,23.926,17.873,6.921,1.283,2.95,13.829,1.274,0.251,1.536,0,0,0,0,0,9,0,0,0,1,1,0
Bernard King,1,874,29417.0,49.3,25.8,75.2,27.0,19.182,0.563,0.01,0.362,27.807,0.123,6.163,12.737,9.396,15.972,1.389,0.435,13.874,2.501,-0.846,1.663,0,0,0,0,0,4,0,0,2,1,1,0
Jack Sikma,1,1107,36943.0,51.9,60.5,112.4,37.0,17.301,0.539,0.05,0.365,20.603,0.146,7.6,24.791,16.191,13.68,1.519,1.625,13.95,0.857,1.129,1.957,0,0,0,0,0,7,0,1,0,0,0,0
Maurice Cheeks,1,1101,34845.0,60.8,42.6,103.4,42.2,16.505,0.571,0.023,0.311,15.222,0.143,2.339,7.37,4.907,29.148,3.171,0.489,17.576,1.218,1.592,2.808,0,0,0,0,0,4,4,1,0,0,0,0
Larry Bird,1,897,34443.0,86.7,59.0,145.9,77.4,23.501,0.563,0.1,0.257,26.465,0.203,5.938,22.369,14.528,24.715,2.17,1.232,12.795,5.116,1.771,6.882,3,0,1,0,0,12,0,3,9,1,0,0
Magic Johnson,1,906,33245.0,110.7,45.4,155.7,80.2,24.108,0.61,0.09,0.49,22.253,0.225,5.69,15.819,11.058,40.856,2.445,0.62,19.63,5.913,1.595,7.53,3,0,0,0,0,11,0,0,9,1,0,0
Sidney Moncrief,1,767,23150.0,61.4,28.9,90.4,33.3,18.682,0.591,0.052,0.527,20.611,0.187,7.058,10.188,8.649,17.035,1.911,0.57,13.512,3.167,0.518,3.677,0,2,0,0,0,5,4,1,1,4,0,0
