Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Shaquille O'Neal,1,1207,41918.0,115.5,66.5,181.6,75.4,26.43,0.587,0.001,0.583,29.474,0.208,11.696,23.602,17.792,13.939,0.91,4.602,12.207,4.437,0.715,5.145,1,0,1,0,0,15,0,3,8,2,4,0
Chris Webber,1,831,30847.0,36.9,47.9,84.5,42.1,20.938,0.514,0.061,0.261,27.143,0.132,8.242,20.946,14.633,20.211,1.963,2.653,12.281,2.295,1.131,3.441,0,0,1,0,0,5,0,0,1,3,1,0
Dino Radja,1,224,7308.0,6.7,7.6,14.2,3.0,17.388,0.537,0.001,0.312,23.436,0.094,7.581,22.055,14.621,8.1,1.365,2.638,12.5,-0.103,-0.313,-0.416,0,0,0,0,0,0,0,0,0,0,0,0
Toni Kukoc,1,846,22212.0,33.7,25.5,59.8,27.4,17.347,0.532,0.279,0.304,21.867,0.129,5.281,13.31,9.251,23.646,1.943,0.977,14.446,2.412,0.43,2.829,0,0,0,0,0,0,0,0,0,0,0,1
Grant Hill,1,1026,34776.0,61.6,38.8,99.9,43.4,19.023,0.551,0.057,0.412,23.741,0.138,4.048,16.635,10.453,21.878,1.896,1.234,13.553,2.227,0.749,2.967,0,0,1,0,0,7,0,0,1,4,0,0
Jason Kidd,1,1391,50111.0,63.5,74.9,138.7,73.4,17.915,0.51,0.394,0.243,19.217,0.133,3.961,16.041,9.98,38.477,2.808,0.675,19.03,2.282,1.532,3.823,0,0,1,0,0,10,4,5,5,1,0,0
Arvydas Sabonis,1,470,11375.0,24.0,23.4,47.1,18.4,21.143,0.573,0.097,0.408,22.902,0.2,7.756,27.052,17.686,14.991,1.747,3.253,14.514,2.031,2.357,4.415,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Garnett,1,1462,50418.0,100.0,91.5,191.5,97.0,22.653,0.545,0.029,0.289,24.701,0.182,7.557,25.998,16.994,19.308,1.943,3.022,11.758,3.517,2.091,5.615,1,1,0,0,0,15,9,3,4,3,2,0
Allen Iverson,1,914,37584.0,60.8,38.2,98.9,49.7,20.935,0.519,0.17,0.413,31.84,0.126,2.241,8.059,5.146,28.754,2.752,0.318,12.289,3.458,-0.225,3.248,1,0,1,0,0,11,0,0,3,3,1,0
Ben Wallace,1,1088,32085.0,22.9,70.6,93.5,36.2,15.509,0.474,0.01,0.501,10.966,0.14,12.314,25.624,18.922,6.84,2.285,4.982,14.207,-0.148,2.604,2.443,0,4,0,0,0,4,5,1,0,3,2,0
Kobe Bryant,1,1346,48637.0,122.3,50.6,172.6,80.1,22.91,0.55,0.21,0.385,31.842,0.17,3.513,12.69,8.131,24.213,2.078,0.952,11.689,4.613,-0.071,4.555,1,0,0,0,0,18,9,3,11,2,2,0
Ray Allen,1,1300,46344.0,111.6,33.4,145.2,57.5,18.56,0.582,0.397,0.258,23.796,0.15,3.239,10.286,6.813,16.497,1.668,0.415,11.392,3.634,-0.707,2.919,0,0,0,0,0,10,0,0,0,1,1,0
Steve Nash,1,1217,38069.0,113.5,15.9,130.0,48.2,19.962,0.603,0.307,0.261,20.986,0.164,1.92,8.641,5.358,41.482,1.205,0.19,19.57,4.351,-1.342,3.01,2,0,0,0,0,8,0,0,3,2,2,0
