Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
2011-2012,Tracy McGrady*,6,90.0,6.5,0.436,0.154,0.231,7.4,15.1,11.0,12.3,0.0,1.8,25.9,20.6,-0.2,0.1,-0.1,-0.045,-2.6,-1.0,-3.6,0.0,0,1
2012-2013,Carmelo Anthony,12,481.0,20.4,0.497,0.184,0.281,2.5,18.2,9.7,9.3,1.5,0.4,8.2,38.0,0.4,0.8,1.1,0.114,4.1,-1.2,2.9,0.6,0,1
2012-2013,Chris Bosh*,23,751.0,16.8,0.524,0.154,0.25,6.4,20.8,13.7,7.6,1.7,4.1,9.2,18.9,1.0,1.2,2.2,0.14,1.1,0.8,1.9,0.7,0,1
2012-2013,Dwight Howard,4,126.0,19.0,0.588,0.0,0.857,9.1,31.2,19.9,6.2,0.8,4.5,21.7,27.4,0.0,0.1,0.0,0.019,-1.5,0.9,-0.6,0.0,0,1
2012-2013,Dwyane Wade*,22,782.0,18.7,0.498,0.013,0.254,6.1,9.9,8.1,24.2,2.7,2.5,14.2,25.3,0.7,1.0,1.8,0.108,2.6,0.5,3.1,1.0,0,1
2012-2013,Grant Hill*,1,20.0,7.4,0.5,0.0,0.0,13.2,12.4,12.8,15.8,0.0,0.0,20.0,12.1,0.0,0.0,0.0,0.026,-1.7,-1.2,-3.0,0.0,0,1
2012-2013,Jason Kidd*,12,247.0,5.1,0.213,0.68,0.08,3.1,18.2,10.1,14.4,2.7,1.6,33.4,7.6,-0.4,0.5,0.1,0.014,-4.0,1.9,-2.1,0.0,0,1
2012-2013,Kevin Garnett*,6,212.0,17.3,0.563,0.033,0.283,5.6,37.9,23.2,22.4,1.3,2.5,22.0,20.8,0.0,0.6,0.6,0.145,-0.7,4.1,3.4,0.3,0,1
2012-2013,Manu Ginobili,21,560.0,16.5,0.53,0.497,0.415,1.9,13.7,8.0,29.7,2.3,0.8,19.4,23.9,0.5,0.8,1.3,0.11,1.2,1.6,2.8,0.7,0,1
2012-2013,Pau Gasol*,4,146.0,17.9,0.493,0.0,0.212,5.5,31.9,18.4,32.5,0.7,1.5,18.6,22.4,0.0,0.0,0.0,0.013,2.0,1.8,3.9,0.2,0,1
2012-2013,Paul Pierce*,6,255.0,10.6,0.484,0.387,0.274,2.1,13.0,8.0,29.1,1.1,1.0,21.2,30.1,-0.6,0.4,-0.2,-0.03,-1.2,-0.3,-1.6,0.0,0,1
2012-2013,Ray Allen*,23,573.0,14.4,0.598,0.558,0.314,2.9,10.8,6.9,8.3,1.2,0.4,12.1,18.8,1.1,0.5,1.5,0.129,1.5,-0.8,0.7,0.4,0,1
2012-2013,Steve Nash*,2,61.0,14.5,0.496,0.13,0.217,3.7,5.9,4.8,26.6,0.0,0.0,10.6,21.6,0.1,0.0,0.0,0.014,2.0,-3.0,-1.0,0.0,0,1
2012-2013,Tim Duncan*,21,735.0,21.3,0.523,0.003,0.305,8.7,24.2,16.7,9.6,1.3,3.5,10.3,26.1,1.1,1.4,2.5,0.161,1.8,1.1,2.9,0.9,0,1
2012-2013,Tony Parker*,21,765.0,21.5,0.521,0.085,0.307,2.2,7.8,5.1,34.6,1.7,0.3,11.3,28.9,1.7,0.8,2.4,0.152,3.8,0.0,3.8,1.1,0,1
2012-2013,Tracy McGrady*,6,31.0,7.0,0.0,0.429,0.0,3.8,25.1,14.8,29.3,3.5,7.4,22.2,13.7,-0.1,0.1,-0.1,-0.094,-5.8,2.7,-3.1,0.0,0,1
2013-2014,Chris Bosh*,20,686.0,18.2,0.596,0.323,0.21,4.8,16.5,10.9,5.4,1.4,2.7,5.3,19.7,1.4,0.6,2.0,0.14,2.9,-0.8,2.1,0.7,0,1
