Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1996-1997,Duane Ferrell,62,1115.0,11.6,0.521,0.131,0.279,6.2,8.8,7.5,10.3,1.8,0.4,12.7,18.0,0.7,1.1,1.9,0.081,-1.3,0.4,-0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Dwayne Schintzius,15,116.0,8.1,0.43,0.056,0.222,8.7,13.6,11.1,5.4,0.5,6.1,15.0,17.9,-0.1,0.1,0.0,0.002,-6.1,0.1,-6.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Earl Cureton,9,46.0,4.9,0.376,0.0,0.375,9.9,13.1,11.5,13.1,0.0,0.0,9.7,10.0,0.0,0.0,0.0,0.026,-5.0,-0.9,-5.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Ed O'Bannon,64,809.0,9.0,0.399,0.251,0.125,6.4,14.0,10.1,7.7,1.9,1.1,6.4,16.9,-0.2,0.6,0.4,0.024,-3.3,-0.3,-3.6,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Ed Pinckney,27,273.0,11.4,0.611,0.0,0.581,11.1,17.1,14.1,3.5,1.6,2.6,26.0,12.6,0.2,0.5,0.7,0.121,-2.8,1.0,-1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eddie Johnson,52,913.0,13.4,0.541,0.362,0.188,3.6,13.7,8.8,10.0,0.9,0.2,10.7,22.0,0.9,0.9,1.8,0.093,-0.5,-1.3,-1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eddie Jones,80,2998.0,17.3,0.559,0.36,0.312,3.5,8.9,6.2,15.0,3.3,1.2,12.1,20.9,5.3,4.3,9.6,0.154,1.5,1.9,3.3,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Elden Campbell,77,2516.0,16.8,0.52,0.004,0.393,9.5,18.3,14.0,8.6,1.0,3.5,10.5,22.0,3.4,3.6,7.0,0.134,-0.6,0.0,-0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eldridge Recasner,71,1207.0,11.5,0.539,0.4,0.166,3.5,7.7,5.7,13.3,1.7,0.3,14.8,17.2,1.2,1.3,2.5,0.099,-0.9,0.2,-0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Elliot Perry,82,1595.0,15.2,0.557,0.299,0.231,1.8,7.6,4.8,25.1,3.3,0.1,18.0,17.9,1.8,1.4,3.2,0.096,0.2,0.8,1.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
