Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Grant Hill*,1,39,1232.0,1.7,1.0,2.7,1.8,18.084,0.537,0.06,0.368,22.818,0.102,4.295,20.108,12.097,22.23,1.578,1.303,13.254,2.368,1.391,3.72,0
Jason Kidd*,1,158,6088.0,6.4,8.0,14.3,9.7,17.083,0.495,0.437,0.245,18.935,0.114,4.072,16.365,10.113,35.913,2.659,0.709,18.838,2.501,1.847,4.343,0
Kevin Garnett*,1,143,5283.0,7.0,9.3,16.5,9.4,21.12,0.526,0.024,0.269,25.453,0.149,7.34,26.88,17.398,17.775,1.822,2.88,12.113,2.847,2.231,5.069,0
Kobe Bryant*,1,220,8641.0,21.0,7.1,28.3,16.1,22.403,0.54,0.196,0.362,31.049,0.157,3.04,11.873,7.434,23.262,1.909,1.312,11.09,4.984,0.41,5.39,2
Steve Nash*,1,120,4289.0,12.0,0.0,11.9,5.5,19.816,0.582,0.28,0.281,22.784,0.133,1.761,9.296,5.572,39.599,0.797,0.219,17.53,4.724,-1.534,3.19,0
Tim Duncan*,1,251,9370.0,20.6,17.6,37.9,18.6,24.271,0.548,0.009,0.447,26.99,0.194,9.866,25.135,17.675,15.981,0.963,4.504,11.757,3.543,2.326,5.87,3
Allen Iverson*,1,71,3203.0,5.4,1.7,7.2,5.5,21.235,0.489,0.199,0.334,34.327,0.109,2.053,7.942,4.944,28.579,2.517,0.354,9.342,4.865,-0.089,4.746,0
Ray Allen*,1,171,6064.0,12.6,5.4,18.0,7.9,16.259,0.584,0.471,0.275,20.587,0.143,2.822,9.953,6.478,13.34,1.484,0.546,10.345,3.068,0.14,3.202,0
Tracy McGrady*,1,50,1724.0,2.9,1.5,4.5,3.9,23.372,0.505,0.21,0.363,33.507,0.125,4.22,14.906,9.584,32.91,1.687,2.098,11.613,6.174,0.97,7.16,0
Dirk Nowitzki*,1,145,5895.0,17.9,4.9,23.1,11.9,23.826,0.577,0.156,0.459,27.134,0.188,4.002,24.433,14.039,11.434,1.328,1.726,9.314,5.176,0.747,5.913,1
Ben Wallace*,1,130,4524.0,3.6,11.8,15.4,6.4,16.25,0.48,0.012,0.702,11.758,0.163,11.939,26.363,19.027,6.645,2.466,4.512,12.44,0.549,3.187,3.732,0
Paul Pierce*,1,170,6229.0,7.0,9.2,16.3,8.1,17.178,0.555,0.328,0.424,25.66,0.126,2.442,16.186,9.416,17.701,1.769,1.423,14.058,2.156,1.031,3.174,1
Tony Parker*,1,226,7758.0,7.0,6.5,13.5,4.4,16.812,0.514,0.112,0.273,27.368,0.084,1.657,8.242,5.013,27.479,1.372,0.19,13.115,1.028,-0.739,0.286,1
Manu Ginobili,1,218,6075.0,12.3,8.6,20.9,10.4,19.308,0.573,0.41,0.453,24.144,0.164,3.004,13.6,8.403,22.898,2.567,0.77,15.256,2.589,2.233,4.839,0
Carmelo Anthony,1,83,3092.0,3.1,2.6,5.8,3.0,18.266,0.512,0.202,0.353,30.644,0.09,5.483,15.84,10.425,12.937,1.686,0.807,10.568,2.593,-0.755,1.838,0
Dwyane Wade*,1,177,6697.0,12.2,9.5,21.6,12.3,22.355,0.547,0.096,0.397,30.082,0.155,4.366,12.144,8.385,26.365,2.21,2.186,13.963,4.236,1.032,5.266,1
Pau Gasol*,1,136,4825.0,10.3,5.0,15.6,7.3,20.186,0.56,0.024,0.398,20.329,0.154,8.915,20.994,14.952,15.598,0.779,3.926,11.854,2.952,1.095,4.056,0
Yao Ming*,1,28,988.0,2.1,1.1,3.2,1.1,21.513,0.601,0.0,0.519,26.597,0.156,9.379,21.42,15.585,6.105,0.505,3.301,14.644,1.643,0.628,2.297,0
Chris Bosh*,1,89,3131.0,5.7,3.8,9.4,2.9,18.419,0.554,0.133,0.343,21.509,0.144,6.883,19.031,13.098,6.853,1.271,2.835,8.953,1.973,-0.118,1.855,0
Dwight Howard,1,125,3945.0,6.6,7.1,13.7,4.6,21.636,0.599,0.007,0.871,22.339,0.167,13.065,30.305,21.727,6.711,1.224,5.041,16.916,1.232,1.604,2.841,0
Patrick Ewing,1,2,2.0,0.0,0.0,0.0,0.0,75.9,1.5,1.0,0.0,25.0,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,6.3,49.9,0
Tim Hardaway Jr.,1,42,931.0,-0.2,0.2,0.1,-0.4,8.709,0.491,0.565,0.168,19.495,0.002,1.555,9.881,5.682,6.463,0.716,0.189,5.756,-1.582,-1.936,-3.459,0
Gary Payton II,1,24,395.0,1.1,0.5,1.6,0.7,19.19,0.73,0.31,0.291,13.618,0.196,9.49,12.463,10.978,8.958,2.719,3.063,13.122,1.825,3.388,5.213,0
