Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Charlie Scott*,1,33,1177.0,-0.3,1.3,1.0,0.2,11.586,0.451,0.035,0.3,22.824,0.043,4.071,8.508,6.258,16.921,1.593,0.55,14.902,-1.585,-0.307,-1.847,0
George McGinnis*,1,34,1035.0,-0.6,1.4,0.9,0.1,14.673,0.443,0.019,0.401,24.415,0.041,9.776,22.205,16.055,16.226,1.76,0.564,15.263,-1.003,-0.662,-1.665,0
Roger Brown,1,11,56.0,0.0,0.0,0.0,-0.1,7.012,0.423,0.111,0.404,19.766,-0.036,13.661,13.57,13.661,4.189,0.0,1.75,10.014,-4.695,-1.504,-6.198,0
Artis Gilmore*,1,42,1152.0,1.6,1.2,2.7,0.9,16.227,0.61,0.004,0.704,18.038,0.111,9.342,22.826,16.132,5.596,1.094,3.442,18.273,0.756,0.377,1.133,0
Bill Walton*,1,49,1197.0,1.2,2.6,3.8,2.1,18.586,0.548,0.023,0.243,20.375,0.155,9.058,30.407,20.159,17.028,1.251,3.863,15.113,2.678,2.148,4.767,1
Bobby Jones*,1,125,3431.0,6.9,4.4,11.2,5.1,16.558,0.595,0.007,0.418,17.21,0.156,7.212,12.245,9.795,11.861,1.847,2.575,14.085,2.515,1.222,3.765,0
Dan Issel*,1,53,1599.0,3.5,1.0,4.7,1.6,19.788,0.553,0.011,0.341,25.073,0.142,7.12,18.866,12.838,13.323,1.163,0.807,10.616,2.436,-0.446,1.99,0
David Thompson*,1,27,971.0,1.3,0.3,1.7,0.5,17.058,0.506,0.02,0.304,27.131,0.083,4.494,7.896,6.185,16.519,1.101,1.42,11.998,1.733,-0.987,0.746,0
George Gervin*,1,59,2202.0,5.2,1.0,6.5,2.8,20.962,0.563,0.02,0.346,28.455,0.138,5.197,11.07,8.139,13.311,1.45,1.225,12.403,3.383,-0.581,2.803,0
Julius Erving*,1,141,5288.0,9.2,7.1,16.5,9.6,19.949,0.542,0.022,0.374,24.76,0.15,7.719,12.61,10.227,17.616,2.095,2.52,14.062,4.552,0.632,5.195,0
Louie Dampier*,1,15,246.0,0.1,0.0,0.2,0.0,10.228,0.452,0.07,0.231,14.862,0.04,0.822,5.586,3.104,16.309,1.47,0.822,8.659,-2.156,-0.006,-2.187,0
Moses Malone*,1,94,3796.0,8.7,5.0,13.8,5.0,21.407,0.547,0.009,0.496,24.428,0.173,14.728,23.653,19.148,5.876,1.104,2.313,11.658,4.132,-1.022,3.123,1
Robert Parish*,1,184,6177.0,6.5,9.0,15.4,4.7,16.565,0.549,0.001,0.348,20.182,0.121,10.674,21.686,16.243,5.597,1.15,2.938,12.811,1.059,-0.01,1.071,0
Adrian Dantley*,1,73,2515.0,6.1,2.8,9.1,2.9,19.332,0.605,0.008,0.617,24.738,0.172,6.63,10.565,8.648,10.731,1.333,0.131,12.618,3.044,-0.167,2.923,0
Alex English*,1,68,2427.0,5.5,1.0,6.5,2.9,19.908,0.558,0.007,0.287,26.367,0.129,6.832,9.413,8.08,18.354,0.885,0.706,8.586,3.923,-1.263,2.652,0
Dennis Johnson*,1,180,6994.0,6.7,6.5,13.3,5.3,14.413,0.506,0.047,0.359,21.115,0.09,4.161,8.265,6.241,20.719,1.725,0.907,13.527,1.054,0.002,1.053,1
Jack Sikma*,1,102,3558.0,3.2,4.6,7.9,2.3,14.673,0.508,0.052,0.327,19.315,0.107,6.849,22.575,14.578,10.188,1.351,1.286,13.137,0.135,0.27,0.447,0
Bernard King*,1,28,934.0,3.0,0.5,3.3,1.7,22.21,0.597,0.018,0.415,28.196,0.173,5.392,9.172,7.312,13.017,1.241,0.357,10.421,5.534,-0.416,5.118,0
Maurice Cheeks*,1,133,4848.0,7.7,5.3,13.3,6.4,16.631,0.557,0.03,0.304,17.48,0.13,2.703,7.676,5.256,27.445,2.956,0.506,15.893,2.341,1.02,3.374,0
Larry Bird*,1,164,6886.0,13.8,11.1,24.8,15.5,21.398,0.55,0.081,0.327,24.779,0.173,6.036,21.402,13.888,23.742,2.138,1.234,12.496,5.408,1.453,6.876,2
Magic Johnson*,1,190,7538.0,23.1,9.5,32.7,18.3,22.972,0.595,0.083,0.502,21.211,0.208,5.423,15.909,10.952,42.236,2.289,0.46,18.385,6.078,1.548,7.637,3
